,GARCH,EGARCH,GJR-GARCH,HAR-RV,LightGBM,XGBoost,Ensemble,actual
2023-04-10,0.1376110934566787,0.1497419151195355,0.12388286430993142,0.13641727520416175,0.13417532830842507,0.13386235,0.1360678989897552,0.10188165813745617
2023-04-11,0.12986231410295826,0.13843990289525623,0.11865971607522549,0.10654871028850528,0.14641459915047644,0.14303158,0.12760854118064666,0.10206183039381193
2023-04-12,0.12271792188503242,0.12669377140966268,0.11387991434822267,0.0977484482959794,0.141447051778045,0.14793292,0.12063780731968561,0.09773278001977309
2023-04-13,0.11853358015838442,0.1237846265050381,0.11331548334349695,0.08711947287949245,0.09231004233533006,0.10897747,0.09932103179106899,0.0509809561469979
2023-04-14,0.13438622373232412,0.1396702648395894,0.11074031254398285,0.10960987667065265,0.09205401967834073,0.07851876,0.1120167066937725,0.04923270118514875
2023-04-17,0.12734347183549974,0.13145013163566957,0.10765159540911502,0.10715981189397272,0.07487332651759988,0.070368946,0.1031255367490241,0.043718269973751236
2023-04-18,0.12183850549197668,0.1264213534469516,0.1039748250220118,0.10987447453693847,0.08163462536210281,0.058735542,0.104449201797006,0.12114348895683559
2023-04-19,0.11555977142922753,0.11745091323924266,0.10053396759187619,0.11201183088769487,0.08120736976647587,0.07712417,0.10292632402779943,0.12418490821890252
2023-04-20,0.1097994390542153,0.10806107175732776,0.09741452163826764,0.1125614978987376,0.10905820490841416,0.10309144,0.11047304728712236,0.18041441132385955
2023-04-21,0.1097964377748816,0.11079376651311477,0.10345690286711061,0.08958282315603655,0.1138066736080757,0.12172122,0.10439531151299795,0.18950772130060203
2023-04-24,0.10473581843219996,0.10358550087394314,0.10006588213867261,0.0853359871532911,0.11047406123134913,0.12218061,0.1001819556056134,0.1894311868431303
2023-04-25,0.10018821295894349,0.09703875584974125,0.09699793172388342,0.07890266971558058,0.15166979473460893,0.137206,0.11025355913637767,0.1729967863185814
2023-04-26,0.13088390557218263,0.12333465957400096,0.14622586420959716,0.11164411653782153,0.16554811468982417,0.15035942,0.13602537893327613,0.17795272985218893
2023-04-27,0.12549518305886873,0.12024066866309017,0.14174696456363278,0.11395623523469535,0.11796907079087696,0.11744241,0.119140163028147,0.12405094381285849
2023-04-28,0.1606330473751498,0.15101735341196956,0.13804551889492717,0.14423436990372795,0.11053245159464241,0.106917895,0.13846662295784007,0.16992226460124854
2023-05-01,0.15752456052342503,0.15317116899347324,0.13219170860002968,0.15591064748819583,0.09238460762303329,0.091196746,0.13527327187821805,0.16993044957015016
2023-05-02,0.1478768616430128,0.1403907681145914,0.1262876444083396,0.16419786569719336,0.14397739466613166,0.14697969,0.1520173740021126,0.15196433536326517
2023-05-03,0.15353371012086278,0.1508315452774873,0.14591460521220662,0.1605597637873296,0.1623616348442162,0.1534476,0.1588183695841362,0.14702443087078698
2023-05-04,0.1494561172122682,0.15066666198441445,0.14734831132732346,0.16566856957246157,0.1623952398632214,0.1759207,0.15917330888265038,0.1382608903636651
2023-05-05,0.14621394711504368,0.15095315392278483,0.1491162934207035,0.14026981143875866,0.14426825877856367,0.13458309,0.14358400577745534,0.048505538227796824
